"ENTIDAD","NOM_ENT","total_hogares","hogares_con_internet","prop_internet"
9,"Ciudad de México",3183779,663579,0.208424956631726
15,"México",5145374,754763,0.146687684899096
19,"Nuevo León",1901016,276224,0.145303353575141
14,"Jalisco",2672091,375735,0.140614597332202
26,"Sonora",973222,127517,0.131025603613564
22,"Querétaro",776196,101672,0.130987534076445
2,"Baja California",1227753,160784,0.130957936979181
1,"Aguascalientes",425549,54372,0.127769070071837
6,"Colima",238249,30137,0.126493710361848
13,"Hidalgo",974063,119743,0.122931473631582
8,"Chihuahua",1209469,147171,0.121682325053391
17,"Morelos",612014,74000,0.120912266712853
29,"Tlaxcala",408090,48634,0.119174691857188
5,"Coahuila",1004969,119466,0.118875308591608
25,"Sinaloa",918444,102461,0.111559332958787
3,"Baja California Sur",281878,31205,0.110703921554715
32,"Zacatecas",481525,50797,0.105491926691241
21,"Puebla",1868481,195640,0.10470537297409
11,"Guanajuato",1762201,178733,0.101426000779707
10,"Durango",543258,53817,0.0990634284262726
28,"Tamaulipas",1137814,110226,0.0968752361985351
4,"Campeche",270748,26124,0.0964882473739418
24,"San Luis Potosí",836368,80301,0.0960115642874907
16,"Michoacán",1486991,140826,0.0947053479140089
23,"Quintana Roo",587030,55380,0.0943393012282166
31,"Yucatán",687674,63702,0.0926340097197218
18,"Nayarit",398717,36535,0.0916314077403271
27,"Tabasco",759346,58209,0.0766567546283249
20,"Oaxaca",1261382,94711,0.0750851050672992
12,"Guerrero",1004168,72819,0.072516750185228
30,"Veracruz",2572682,150146,0.0583616630426924
7,"Chiapas",1479868,81576,0.0551238353691005
